X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0257642909132,38.8873197842694,28467944,38.887312,-77.025762,Independence Ave & L'Enfant Plaza SW/DOE,classic,253,active,2021/11/01 10:25:49+00,7,0,7,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-76.9971962838899,38.9275047940807,28467945,38.927497,-76.997194,Hamlin & 7th St NE,classic,254,active,2021/11/01 09:27:07+00,11,0,4,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",42,2021/11/01 11:17:48+00,,"Washington, DC"
-77.0866013085013,38.8624857773508,28467946,38.862478,-77.086599,Columbia Pike & S Walter Reed Dr,classic,255,active,2021/11/01 11:04:45+00,11,0,1,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"CREDITCARD,KEY",41,2021/11/01 11:17:48+00,,"Arlington, VA"
-77.111532315547,38.8563267752033,28467947,38.856319,-77.11153,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,classic,256,active,2021/11/01 11:05:35+00,9,0,4,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",41,2021/11/01 11:17:48+00,,"Arlington, VA"
-77.1079083159126,38.8718297786107,28467948,38.871822,-77.107906,Pershing Dr & N George Mason Dr,classic,257,active,2021/11/01 08:10:00+00,7,0,4,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",41,2021/11/01 11:17:48+00,,"Arlington, VA"
-77.0230842956748,38.9854118043059,28467949,38.985404,-77.023082,Fenton St & New York Ave ,classic,258,active,2021/11/01 04:50:06+00,15,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"CREDITCARD,KEY",44,2021/11/01 11:17:48+00,,"Montgomery County, MD (South)"
-77.0974283187157,38.9811108007184,28467950,38.981103,-77.097426,Bethesda Ave & Arlington Rd,classic,259,active,2021/11/01 11:15:59+00,1,0,18,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",44,2021/11/01 11:17:48+00,,"Montgomery County, MD (South)"
-77.0922123174111,38.9838458018867,28467951,38.983838,-77.09221,Montgomery Ave & Waverly St ,classic,260,active,2021/11/01 10:56:44+00,4,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"CREDITCARD,KEY",44,2021/11/01 11:17:48+00,,"Montgomery County, MD (South)"
-77.1926743560733,39.0963198206334,28467952,39.096312,-77.192672,Fallsgrove Blvd & Fallsgrove Dr,classic,261,active,2021/11/01 04:50:08+00,8,0,11,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",43,2021/11/01 11:17:48+00,,"Montgomery County, MD (North)"
-77.2025033586868,39.0937908197856,28467953,39.093783,-77.202501,Traville Gateway Dr & Gudelsky Dr,classic,262,active,2021/11/01 04:50:09+00,17,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"CREDITCARD,KEY",43,2021/11/01 11:17:48+00,,"Montgomery County, MD (North)"
